Item_Identifier,Item_Weight,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Item_Outlet_Sales,Outlet_Years,Item_Fat_Content_1,Item_Fat_Content_2,Outlet_Location_Type_1,Outlet_Location_Type_2,Outlet_Size_1,Outlet_Size_2,Outlet_Type_1,Outlet_Type_2,Outlet_Type_3,Item_Type_Combined_1,Item_Type_Combined_2,Outlet_1,Outlet_2,Outlet_3,Outlet_4,Outlet_5,Outlet_6,Outlet_7,Outlet_8,Outlet_9
FDA03,18.5,0.9070814723108068,Dairy,144.1102,OUT046,1997,2187.153,16,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
FDX32,15.1,0.9069378583734613,Fruits and Vegetables,145.4786,OUT049,1999,1589.2646,14,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
FDS46,17.6,0.8677308071633344,Snack Foods,119.6782,OUT046,1997,2145.2076,16,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
FDF32,16.35,0.971010996517429,Fruits and Vegetables,196.4426,OUT013,1987,1977.426,26,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
FDP49,9.0,0.9075715792183814,Breakfast,56.3614,OUT046,1997,1547.3192,16,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
NCB42,11.8,1.0030881886774816,Health and Hygiene,115.3492,OUT018,2009,1621.8888,4,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
FDP49,9.0,0.9089826121789399,Breakfast,54.3614,OUT049,1999,718.3982,14,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
DRI11,8.26,0.8266123043984331,Hard Drinks,113.2834,OUT027,1985,2303.668,28,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
FDU02,13.35,0.9019971960754412,Dairy,230.5352,OUT035,2004,2748.4224,9,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
FDN22,18.85,0.9964460714177477,Snack Foods,250.8724,OUT013,1987,3775.086,26,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
FDW12,8.315,0.9073565158740481,Baking Goods,144.5444,OUT027,1985,4064.0432,28,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
NCB30,14.6,0.830879277061293,Household,196.5084,OUT035,2004,1587.2672,9,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
FDC37,15.5,1.4001017843082437,Baking Goods,107.6938,OUT019,1985,214.3876,28,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
FDR28,13.85,0.9977857938893345,Frozen Foods,165.021,OUT046,1997,4078.025,16,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
NCD06,13.0,1.0035584629112677,Household,45.90600000000001,OUT017,2007,838.908,6,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
FDV10,7.645,0.9505941754344647,Snack Foods,42.3112,OUT035,2004,1065.28,9,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
DRJ59,11.65,0.905229667308957,Hard Drinks,39.1164,OUT013,1987,308.9312,26,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
FDE51,5.925,1.390779585451742,Dairy,45.5086,OUT010,1998,178.4344,15,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
FDC14,14.5,1.477609624978022,Canned,43.6454,OUT019,1985,125.8362,28,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
FDV38,19.25,1.4440173570865151,Dairy,55.7956,OUT010,1998,163.7868,15,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
NCS17,18.6,1.0029482739188142,Health and Hygiene,96.4436,OUT018,2009,2741.7644,4,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
FDP33,18.7,0.8571428571428571,Snack Foods,256.6672,OUT018,2009,3068.0064,4,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
FDO23,17.85,0.8750000000000001,Breads,93.1436,OUT045,2002,2174.5028,11,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
DRH01,17.5,0.8690040989458369,Soft Drinks,174.8738,OUT046,1997,2085.2856,16,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
NCX29,10.0,0.8494155173620084,Health and Hygiene,146.7102,OUT049,1999,3791.0652,14,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
FDV20,20.2,0.8400182466211474,Fruits and Vegetables,128.0678,OUT027,1985,2797.6916,28,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
DRZ11,8.85,1.0027970103240023,Soft Drinks,122.5388,OUT018,2009,1609.9044,4,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
FDX10,6.385000000000002,0.9944509267341657,Snack Foods,36.9874,OUT027,1985,388.1614,28,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
FDB34,15.25,0.9067994382722705,Snack Foods,87.6198,OUT027,1985,2180.495,28,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
FDU02,13.35,0.9021677878599483,Dairy,230.6352,OUT046,1997,3435.528,16,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
FDK43,9.8,0.886395893739413,Meat,126.002,OUT013,1987,2150.534,26,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
FDA46,13.6,1.0009916175079747,Snack Foods,192.9136,OUT049,1999,2527.3768,14,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
FDC02,21.35,0.9029432247464673,Canned,259.9278,OUT018,2009,6768.5228,4,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
FDL50,12.15,0.9965636795510625,Canned,126.5046,OUT013,1987,373.5138,26,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
FDM39,6.42,1.475034508970051,Dairy,178.1002,OUT010,1998,358.2004,15,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
NCP05,19.6,0.7999999999999999,Health and Hygiene,153.3024,OUT045,2002,2428.8384,11,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0
FDV49,10.0,1.001589882218445,Canned,265.2226,OUT045,2002,5815.0972,11,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
FDL12,15.85,0.8703209432274566,Baking Goods,60.622,OUT046,1997,2576.646,16,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
FDS02,10.195,1.533242889742129,Dairy,196.8794,OUT019,1985,780.3176,28,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
NCL17,7.39,0.9976204487568417,Health and Hygiene,143.8812,OUT046,1997,3134.5864,16,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0
FDM40,10.195,1.124531708576035,Frozen Foods,141.5154,OUT013,1987,850.8924,26,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
FDR13,9.895,0.9975729965176114,Canned,117.0492,OUT013,1987,810.9444,26,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
FDA43,10.895,0.8855960961324091,Fruits and Vegetables,196.3794,OUT017,2007,3121.2704,6,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
NCP18,12.15,1.0044681048166684,Household,151.4708,OUT017,2007,4815.0656,6,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
FDK21,7.905,0.9151200106675108,Snack Foods,249.0408,OUT018,2009,6258.52,4,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
NCX54,9.195,0.9135444048667141,Household,106.1622,OUT045,2002,2117.244,11,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0
DRK35,8.365,0.84977679669688,Hard Drinks,38.0506,OUT049,1999,796.9626,14,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
FDY21,15.1,0.9477562226443158,Snack Foods,194.511,OUT046,1997,4910.275,16,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
FDI26,5.94,1.5795664691579507,Canned,180.0344,OUT019,1985,892.172,28,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
FDM20,10.0,0.7142857142857143,Fruits and Vegetables,246.9144,OUT018,2009,3185.1872,4,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
FDV27,7.97,0.7997977402469445,Meat,87.3514,OUT045,2002,1062.6168,11,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
FDF09,6.215,0.9948602766106077,Fruits and Vegetables,38.2848,OUT027,1985,484.7024,28,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
FDY40,15.5,1.4132152321083333,Frozen Foods,51.0692,OUT019,1985,147.8076,28,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
FDY45,17.5,1.0218594366389009,Snack Foods,255.8356,OUT027,1985,2543.356,28,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
FDC46,17.7,1.526559956581351,Snack Foods,185.4266,OUT010,1998,184.4266,15,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
FDH19,19.35,0.9025033636908053,Meat,172.5738,OUT035,2004,4865.6664,9,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
FDZ03,13.65,0.8926191098281785,Dairy,186.024,OUT045,2002,1118.544,11,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
DRH37,17.6,0.8894938822861084,Soft Drinks,164.8526,OUT045,2002,2302.3364,11,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
NCI17,8.645,0.9989871435433431,Health and Hygiene,95.841,OUT046,1997,2027.361,16,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0
FDJ58,15.6,0.8484883858774449,Snack Foods,170.1764,OUT046,1997,3435.528,16,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
FDL12,15.85,0.8695966818186086,Baking Goods,59.222,OUT013,1987,599.22,26,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
FDH35,18.25,0.8571428571428572,Starchy Foods,164.7526,OUT045,2002,4604.6728,11,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
FDG02,7.855,0.8736089180195864,Canned,189.6188,OUT017,2007,2285.0256,6,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
NCZ18,7.825,0.9076969233783859,Household,254.3698,OUT049,1999,5580.7356,14,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
FDC29,8.39,0.9992261936164709,Frozen Foods,114.0176,OUT046,1997,2290.3520000000008,16,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
FDQ10,12.85,0.9043192954878387,Snack Foods,172.3422,OUT049,1999,1207.0954,14,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
FDN48,13.35,1.5219827105910262,Baking Goods,89.9804,OUT019,1985,643.1628,28,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
FDL04,19.0,1.0054306358168554,Frozen Foods,104.9622,OUT017,2007,1587.933,6,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
FDV25,5.905,0.8333333333333334,Canned,222.5456,OUT045,2002,5305.0944,11,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
FDD58,7.76,0.8881058706122892,Snack Foods,101.87,OUT046,1997,1697.79,16,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
FDN04,11.8,1.0197993732581296,Frozen Foods,180.3344,OUT046,1997,1427.4752,16,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
FDV45,16.75,0.9065714951294783,Snack Foods,187.9556,OUT018,2009,4693.89,4,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
NCL18,18.85,1.5791630222747792,Household,194.6136,OUT019,1985,583.2408,28,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
FDR12,12.6,0.8836739937983247,Baking Goods,171.3764,OUT027,1985,3091.9752,28,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
FDG20,15.5,0.8843963035953681,Fruits and Vegetables,177.0028,OUT017,2007,2479.4392,6,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
FDZ55,6.055,0.9986913188770223,Fruits and Vegetables,160.99200000000005,OUT035,2004,2716.4640000000004,9,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
FDQ49,20.2,0.8652260114281753,Breakfast,155.963,OUT027,1985,3285.723,28,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
FDN33,6.305,1.0010310559959184,Snack Foods,95.6436,OUT046,1997,661.8052,16,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
FDN27,20.85,1.0695646454804046,Meat,117.2808,OUT049,1999,1523.3504,14,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
FDW20,20.75,1.4342927846122457,Fruits and Vegetables,122.173,OUT010,1998,369.519,15,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DRG27,8.895,0.8777338072573964,Dairy,39.9138,OUT049,1999,690.4346,14,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
DRI25,19.6,0.9136209138602582,Soft Drinks,55.1614,OUT045,2002,1381.535,11,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
FDA44,19.7,0.921352677093045,Fruits and Vegetables,57.893,OUT035,2004,622.523,9,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
NCR17,9.8,0.9988296793150883,Health and Hygiene,114.5492,OUT035,2004,1274.3412,9,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
FDU04,7.93,1.666502256749128,Frozen Foods,120.0414,OUT019,1985,487.3656,28,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
FDF41,12.15,1.0001428335821854,Frozen Foods,246.046,OUT049,1999,1231.73,14,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
FDB56,8.75,1.019512883577813,Fruits and Vegetables,187.4556,OUT035,2004,3755.112,9,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
NCP18,12.15,0.9939815463645768,Household,149.9708,OUT027,1985,4363.6532,28,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
FDB56,8.75,1.01970569621029,Fruits and Vegetables,187.8556,OUT046,1997,1314.2892,16,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
FDT28,13.3,1.000657479038771,Frozen Foods,151.0708,OUT045,2002,1805.6496,11,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
FDD10,20.6,0.9124925823628613,Snack Foods,178.5344,OUT027,1985,2854.9504,28,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
FDW57,8.31,1.039825448953738,Snack Foods,179.1028,OUT049,1999,3896.2616,14,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
DRB48,16.75,0.9168198563151408,Soft Drinks,38.7822,OUT013,1987,667.7974,26,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
FDP09,19.75,0.8728846682169278,Snack Foods,212.0902,OUT018,2009,3185.853,4,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
FDH14,17.1,0.8293743935342626,Canned,141.1838,OUT013,1987,2247.7408,26,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
FDA47,10.5,1.026882619565562,Baking Goods,163.121,OUT013,1987,1794.331,26,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
FDG12,6.635,0.75,Baking Goods,121.3098,OUT045,2002,2530.7058,11,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
DRE60,9.395,1.554236934407836,Soft Drinks,225.372,OUT019,1985,679.1160000000001,28,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
DRK49,14.15,1.019754829461958,Soft Drinks,41.4138,OUT013,1987,812.2760000000002,26,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
FDD03,13.3,0.9982612829610846,Dairy,232.53,OUT046,1997,699.09,16,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
FDS52,8.89,0.8530289760479389,Frozen Foods,102.4016,OUT017,2007,2732.4432,6,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
FDW39,6.69,1.566020072236405,Meat,176.937,OUT019,1985,176.437,28,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
FDX34,6.195,0.99472231242595,Snack Foods,121.7098,OUT027,1985,4097.3332,28,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
FDV11,9.1,0.8000000000000002,Breads,173.2054,OUT045,2002,3151.8972,11,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
FDD17,7.5,0.9180391026537701,Frozen Foods,239.0906,OUT049,1999,5942.265,14,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
FDZ16,16.85,0.8127109130444516,Frozen Foods,192.4478,OUT017,2007,4843.695,6,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
FDZ46,7.485,0.997045204761887,Snack Foods,109.0228,OUT035,2004,2542.0244,9,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
DRA12,11.6,0.9664212571485007,Soft Drinks,140.3154,OUT017,2007,2552.6772,6,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
FDY58,11.65,1.000310840835566,Snack Foods,227.0694,OUT018,2009,1141.847,4,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
NCF19,13.0,0.8737352885509778,Household,47.5034,OUT017,2007,680.4476,6,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
DRJ13,12.65,0.8994150084567096,Soft Drinks,159.0578,OUT045,2002,2085.9514,11,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
FDB14,20.25,1.535910369570716,Canned,92.512,OUT010,1998,186.424,15,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
FDJ38,8.6,0.9981035677346621,Canned,190.153,OUT035,2004,3036.048,9,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
FDW11,12.6,1.0045293329709672,Breads,62.7194,OUT017,2007,866.8716,6,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
FDL40,17.7,0.917562435728041,Frozen Foods,95.041,OUT035,2004,868.8689999999998,9,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
DRI49,14.15,0.9985240537514383,Soft Drinks,82.4276,OUT046,1997,1137.1864,16,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
FDV38,19.25,0.8676004642120853,Dairy,52.7956,OUT017,2007,928.1252,6,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
DRG23,8.88,1.0203717404469927,Hard Drinks,151.7682,OUT013,1987,762.341,26,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
NCP30,20.5,1.001464650108189,Household,40.2822,OUT045,2002,707.0796,11,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0
FDY25,12.0,0.9943509837076948,Canned,180.5976,OUT027,1985,7968.2944,28,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
NCH54,13.5,0.8082214567844889,Household,160.292,OUT046,1997,1438.128,16,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0
NCR53,12.15,0.8214348122328794,Health and Hygiene,224.4404,OUT027,1985,6976.2524,28,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
FDS52,8.89,1.4197649145980327,Frozen Foods,101.7016,OUT010,1998,101.2016,15,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
FDG02,7.855,0.8722339603949565,Canned,188.5188,OUT018,2009,952.094,4,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
NCO26,7.235,0.9986322230840355,Household,116.0492,OUT046,1997,1969.4364,16,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0
FDH35,18.25,0.9017892032941387,Starchy Foods,165.4526,OUT027,1985,5262.4832,28,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
FDB51,6.92,1.0002381398116789,Dairy,60.5852,OUT045,2002,1314.2892,11,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
FDX44,9.3,1.0047486362989948,Fruits and Vegetables,90.8172,OUT017,2007,535.3032,6,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
NCN07,18.5,1.5255089605772434,Others,132.1284,OUT010,1998,263.6568,15,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NCC31,8.02,0.8705455842705715,Household,154.5972,OUT035,2004,1402.1748,9,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
NCX54,9.195,0.9168523734212936,Household,105.1622,OUT017,2007,1693.7952,6,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
NCO55,12.8,0.7796761014753127,Others,105.5938,OUT045,2002,2143.876,11,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0
NCC30,16.6,0.8825315072178719,Household,177.6344,OUT049,1999,2676.516,14,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
FDI16,14.0,0.8571428571428572,Frozen Foods,53.06399999999999,OUT035,2004,905.488,9,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
FDP16,18.6,0.8808625329084496,Frozen Foods,246.3802,OUT049,1999,7370.406,14,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
FDB11,16.0,0.9981703397961053,Starchy Foods,226.8404,OUT035,2004,6301.1312,9,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
NCB06,17.6,0.8811099613784078,Health and Hygiene,160.692,OUT035,2004,1597.92,9,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
FDA45,21.25,0.9997633612623326,Snack Foods,178.237,OUT035,2004,529.311,9,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
NCO26,7.235,0.9984433869184124,Household,117.5492,OUT035,2004,1969.4364,9,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
DRJ25,14.6,1.0023204999570055,Soft Drinks,50.3692,OUT017,2007,1034.6532,6,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
FDR28,13.85,1.0018503386019926,Frozen Foods,161.52100000000004,OUT018,2009,1794.331,4,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
FDI04,13.65,0.9067754473476878,Frozen Foods,197.6426,OUT018,2009,2768.3964,4,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
DRK12,9.5,1.009878962736636,Soft Drinks,31.29,OUT027,1985,898.83,28,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
FDX20,7.365,0.9222899096810624,Fruits and Vegetables,226.172,OUT046,1997,3169.208,16,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
NCI18,18.35,1.0026581194547473,Household,223.5746,OUT018,2009,3589.9936,4,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
FDB36,5.465,0.7777777777777777,Baking Goods,132.5626,OUT018,2009,262.3252,4,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
FDN13,18.6,0.8926897979587703,Breakfast,99.8358,OUT017,2007,1910.1802,6,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
